scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,initialInfections,costInfect,nThreads,dispersal,infect_percent,vertical,mProb,mSize,spillover_rate,replicate,ofi
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898597
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898598
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898599
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898600
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898601
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898602
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898603
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898604
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898605
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898606
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898607
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898608
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.25,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898609
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898610
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898611
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898612
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898613
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,5,1655898614
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,6,1655898615
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,7,1655898616
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,8,1655898617
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,9,1655898618
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,20,0.5,1,10,FALSE,FALSE,0.01,0.01,0.01,10,1655898619
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,1,1655898620
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,2,1655898621
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,3,1655898622
1,500,1800,60,60,1,100,5000,3000,1,1,1,5,100,0.05,20,0.1,1,10,FALSE,FALSE,0.01,0.01,0.01,4,1655898623
