scenario,popsize,nItems,landsize,nClusters,clusterSpread,tmax,genmax,g_patho_init,range_food,range_agents,range_move,handling_time,regen_time,pTransmit,p_v_transmit,initialInfections,costInfect,multithreaded,dispersal,vertical,infect_percent,mProb,mSize,replicate,seed
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601193
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601194
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601195
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601196
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601197
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601198
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601199
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601200
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601201
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601202
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601203
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601204
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601205
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601206
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601207
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601208
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601209
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601210
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601211
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601212
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.2,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601213
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601214
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601215
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601216
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601217
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601218
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601219
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601220
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601221
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601222
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.1,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601223
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601224
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601225
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601226
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601227
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601228
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601229
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601230
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601231
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601232
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.25,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601233
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,1,1675601234
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,2,1675601235
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,3,1675601236
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,4,1675601237
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,5,1675601238
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,6,1675601239
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,7,1675601240
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,8,1675601241
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,9,1675601242
2,500,1800,60,60,1,100,5000,3000,1,1,1,5,50,0.05,0.3,20,0.5,FALSE,2,TRUE,FALSE,0.01,0.01,10,1675601243
