gen,social_strat,N,mean_move,mean_assoc,mean_intake,prop_infec,repl,cost,regen,local,infect_percent,prop,gen_bin,gen_abs
175,non-handler tracking,13,33.3846153846154,3999.53846153846,13.7702302199144,0,1,0.25,50,1,0,0.026,100,-2900
180,agent tracking,484,26.8987603305785,13975.0702479339,14.9927349891052,0,1,0.25,50,1,0,0.968,100,-2900
180,non-handler tracking,8,32,3480,14.0009994506836,0,1,0.25,50,1,0,0.016,100,-2900
180,handler tracking,8,46.375,125.625,11.0009996294975,0,1,0.25,50,1,0,0.016,100,-2900
185,agent tracking,485,27.0309278350516,14455.1484536082,14.9391437815637,0,1,0.25,50,1,0,0.97,100,-2900
185,non-handler tracking,10,40.1,4486.2,12.5009994983673,0,1,0.25,50,1,0,0.02,100,-2900
185,handler tracking,5,43.4,702,11.600999546051,0,1,0.25,50,1,0,0.01,100,-2900
190,agent tracking,490,26.730612244898,14827.5285714286,14.9989586365466,0,1,0.25,50,1,0,0.98,100,-2900
190,non-handler tracking,7,53,7043.57142857143,9.57242815835135,0,1,0.25,50,1,0,0.014,100,-2900
190,handler tracking,3,39,256.666666666667,12.6676661173503,0,1,0.25,50,1,0,0.006,100,-2900
195,agent tracking,485,25.3711340206186,14798.6969072165,15.28553553724,0,1,0.25,50,1,0,0.97,100,-2900
195,non-handler tracking,9,49.4444444444445,5208.66666666667,10.5565551732434,0,1,0.25,50,1,0,0.018,100,-2900
195,handler tracking,6,32.8333333333333,81.8333333333333,14.0009995301565,0,1,0.25,50,1,0,0.012,100,-2900
200,agent tracking,473,28.0655391120507,14542.7674418605,14.6817605588703,0,1,0.25,50,1,0,0.946,200,-2800
200,handler tracking,6,52.1666666666667,198.833333333333,10.1676662089109,0,1,0.25,50,1,0,0.012,200,-2800
200,non-handler tracking,21,34.4285714285714,9343.09523809524,13.4771899495806,0,1,0.25,50,1,0,0.042,200,-2800
205,agent tracking,463,27.207343412527,15400.8401727862,14.9405242958049,0,1,0.25,50,1,0,0.926,200,-2800
205,non-handler tracking,21,40.0476190476191,7571.85714285714,12.5248090199062,0,1,0.25,50,1,0,0.042,200,-2800
205,handler tracking,13,46.6153846153846,735.153846153846,11.077922637646,0,1,0.25,50,1,0,0.026,200,-2800
