gen,energy.mean,energy.sd,intake.mean,intake.sd,moved.mean,moved.sd,assoc.mean,assoc.sd,repl,cost,regen,local,infect_percent,gen_bin,gen_abs
515,16.6029994578878,2.24268925624516,16.6029994578878,2.24268925624516,18.886,10.9407680173569,41269.286,6377.61203796669,3,0.25,50,1,0,500,-2500
520,16.7829994525909,1.58982106388683,16.7829994525909,1.58982106388683,17.996,7.89586431916693,42778.772,4668.90818621641,3,0.25,50,1,0,500,-2500
525,16.2709994547367,1.84279452916961,16.2709994547367,1.84279452916961,20.48,9.05591625615415,41438.962,5711.36755350402,3,0.25,50,1,0,500,-2500
530,15.9849994575044,2.10061157080378,15.9849994575044,2.10061157080378,21.824,10.2734664171568,39862.066,7013.40838594332,3,0.25,50,1,0,500,-2500
535,16.7149994558354,1.9462218295891,16.7149994558354,1.9462218295891,18.31,9.53854641627701,41453.492,5526.61847257605,3,0.25,50,1,0,500,-2500
540,16.4089994518757,1.47983640813915,16.4089994518757,1.47983640813915,19.74,7.23803691319086,42273.442,5064.74198883447,3,0.25,50,1,0,500,-2500
545,16.0669994625112,2.3410691838861,16.0669994625112,2.3410691838861,21.42,11.5418381575948,39070.656,7573.1267198095,3,0.25,50,1,0,500,-2500
550,16.4949994605104,2.38271239682207,16.4949994605104,2.38271239682207,19.39,11.6182557957497,40884.064,6404.23915842472,3,0.25,50,1,0,500,-2500
555,16.594999455597,1.89534919179725,16.594999455597,1.89534919179725,18.9,9.25750521499239,42112.77,5283.03092747538,3,0.25,50,1,0,500,-2500
560,16.6469994587481,2.32108997575899,16.6469994587481,2.32108997575899,18.66,11.3878780962509,41018.814,6619.56822597976,3,0.25,50,1,0,500,-2500
565,16.7349994575977,2.0177677225819,16.7349994575977,2.0177677225819,18.178,9.83747262946489,41946.67,5949.89345024249,3,0.25,50,1,0,500,-2500
570,16.3009994587482,2.2804386773395,16.3009994587482,2.2804386773395,20.416,11.2527415497189,40791.114,5882.74063475142,3,0.25,50,1,0,500,-2500
575,16.480999453783,1.78997428178086,16.480999453783,1.78997428178086,19.428,8.72565700565641,41198.022,5500.62808014395,3,0.25,50,1,0,500,-2500
580,15.9829994564056,1.91964735316672,15.9829994564056,1.91964735316672,21.81,9.57000888924773,42077.23,6975.34980160921,3,0.25,50,1,0,500,-2500
585,15.650999455452,1.93260700263734,15.650999455452,1.93260700263734,23.444,9.54510776074994,40413.242,7297.05113659045,3,0.25,50,1,0,500,-2500
590,14.9209994556904,2.01735950294804,14.9209994556904,2.01735950294804,26.954,9.81123869904403,38385.53,9004.96226421076,3,0.25,50,1,0,500,-2500
595,15.752999463133,2.52095341083953,15.752999463133,2.52095341083953,22.946,12.4941302450856,39336.718,8309.03254356945,3,0.25,50,1,0,500,-2500
600,16.446999453783,1.62984561073983,16.446999453783,1.62984561073983,19.572,7.93995603285101,41819.302,5383.60758525918,3,0.25,50,1,0,600,-2400
605,15.8729994578362,2.24983094712272,15.8729994578362,2.24983094712272,22.394,11.0331420932071,39858.334,7804.2187010303,3,0.25,50,1,0,600,-2400
610,15.5529994625628,2.49233207035383,15.5529994625628,2.49233207035383,23.93,12.1307629942079,39775.588,8096.27529581271,3,0.25,50,1,0,600,-2400
615,16.6409994559288,1.85398878200786,16.6409994559288,1.85398878200786,18.666,9.09041888093512,41063.878,4970.24110525886,3,0.25,50,1,0,600,-2400
620,16.802999455597,1.79366394112823,16.802999455597,1.79366394112823,17.878,8.85505165878548,41703.18,5164.20176904649,3,0.25,50,1,0,600,-2400
625,16.0189994544983,1.64288589560524,16.0189994544983,1.64288589560524,21.8,8.03773664789048,41637.286,4605.64876790998,3,0.25,50,1,0,600,-2400
630,16.7709994570275,2.01723530984518,16.7709994570275,2.01723530984518,18.036,9.88991024475443,41858.214,5535.06363170452,3,0.25,50,1,0,600,-2400
635,16.7789994565507,1.74665895330402,16.7789994565507,1.74665895330402,18.036,8.63433886381757,41674.512,4876.90073298347,3,0.25,50,1,0,600,-2400
640,16.6349994573593,1.97784417142777,16.6349994573593,1.97784417142777,18.68,9.70742335206787,41775.742,5937.31315921075,3,0.25,50,1,0,600,-2400
645,16.4049994599819,2.31332806217002,16.4049994599819,2.31332806217002,19.81,11.4278208850314,40274.818,6731.03283210309,3,0.25,50,1,0,600,-2400
650,16.6809994575977,2.00540347463238,16.6809994575977,2.00540347463238,18.518,9.87728695519121,40872.652,5504.13784508814,3,0.25,50,1,0,600,-2400
655,16.1669994593184,2.29018200586965,16.1669994593184,2.29018200586965,21.022,11.2557051220966,40095.406,6715.88973010262,3,0.25,50,1,0,600,-2400
660,16.6809994539281,1.77197055767783,16.6809994539281,1.77197055767783,18.462,8.7031054278445,41394.8,4526.72055797793,3,0.25,50,1,0,600,-2400
665,15.9609994606038,2.38868402462634,15.9609994606038,2.38868402462634,21.912,11.6607118307932,39292.438,7332.76293375432,3,0.25,50,1,0,600,-2400
670,15.6469994577428,2.04279952479567,15.6469994577428,2.04279952479567,23.424,9.95099334423826,39571.1,7025.30206412396,3,0.25,50,1,0,600,-2400
675,16.0249994617959,2.28952124564975,16.0249994617959,2.28952124564975,21.674,11.2776813305034,39705.386,7457.678455182,3,0.25,50,1,0,600,-2400
680,15.9489994558354,2.03607147287709,15.9489994558354,2.03607147287709,21.966,9.91774002151037,40407.046,6027.76365871578,3,0.25,50,1,0,600,-2400
685,15.8809994559288,1.90390377213958,15.8809994559288,1.90390377213958,22.344,9.28601767435842,40813.09,6562.71861022656,3,0.25,50,1,0,600,-2400
690,15.7129994620343,2.45460911668324,15.7129994620343,2.45460911668324,23.252,12.0275442064986,38965.268,7271.94430369816,3,0.25,50,1,0,600,-2400
695,15.6689994528294,1.73429856992613,15.6689994528294,1.73429856992613,23.362,8.49607689732682,39885.194,6101.17001496163,3,0.25,50,1,0,600,-2400
700,15.790999455452,1.78781779889973,15.790999455452,1.78781779889973,22.866,8.73272953493125,41140.994,5592.06465522175,3,0.25,50,1,0,700,-2300
705,16.1509994535446,1.5863584073185,16.1509994535446,1.5863584073185,21.064,7.7707575786852,40741.53,5061.45050232391,3,0.25,50,1,0,700,-2300
710,16.0049994516373,1.32797251587702,16.0049994516373,1.32797251587702,21.896,6.53318827971431,42440.982,3047.19179267053,3,0.25,50,1,0,700,-2300
715,16.1189994544983,1.63015051288473,16.1189994544983,1.63015051288473,21.314,8.08617192203489,41646.122,4377.99979116707,3,0.25,50,1,0,700,-2300
720,15.9989994568825,1.98945008991606,15.9989994568825,1.98945008991606,21.88,9.72268796797703,40680.746,5466.45749206093,3,0.25,50,1,0,700,-2300
725,16.0009994548818,1.79400021146218,16.0009994548818,1.79400021146218,21.776,8.82255626210431,40042.458,5865.48142482148,3,0.25,50,1,0,700,-2300
730,15.7289994564056,1.97428759018569,15.7289994564056,1.97428759018569,23.08,9.62470102078392,39248.7,6989.98660538681,3,0.25,50,1,0,700,-2300
735,15.6349994547367,1.66901621814823,15.6349994547367,1.66901621814823,23.648,8.17592732203206,40913.95,5834.17778339987,3,0.25,50,1,0,700,-2300
740,14.7969994575044,2.20819748081036,14.7969994575044,2.20819748081036,27.582,10.8291188760334,38634.816,8544.33806776022,3,0.25,50,1,0,700,-2300
745,14.1749994585514,2.12620915507502,14.1749994585514,2.12620915507502,30.582,10.4991304153705,36658.496,9582.50092898989,3,0.25,50,1,0,700,-2300
750,13.762999458458,2.12941886803791,13.762999458458,2.12941886803791,32.72,10.5022948155527,37559.212,9872.39164380107,3,0.25,50,1,0,700,-2300
755,15.0409994575044,2.06274323747521,15.0409994575044,2.06274323747521,26.398,10.0303944901113,38734.988,8232.11316577976,3,0.25,50,1,0,700,-2300
760,15.7049994538347,1.71880554326462,15.7049994538347,1.71880554326462,23.232,8.40735053903264,40440.18,5896.49373308313,3,0.25,50,1,0,700,-2300
765,15.2169994539281,1.8773365965299,15.2169994539281,1.8773365965299,25.656,9.21887407867995,40039.016,6814.45159325221,3,0.25,50,1,0,700,-2300
